Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca0010-il-100000,,,,,
1.75,0.2754,0.01358,0.0069,-0.0214,0.9233,1
2,0.3203,0.01327,0.00669,-0.0237,0.8918,1
2.25,0.3522,0.01302,0.00647,-0.0232,0.856,1
2.5,0.3752,0.01291,0.00633,-0.021,0.8146,1
2.75,0.3965,0.01287,0.00623,-0.0185,0.771,1
3,0.4174,0.01294,0.00619,-0.0161,0.7254,1
3.25,0.4382,0.0131,0.0062,-0.0139,0.678,1
3.5,0.4591,0.01333,0.00627,-0.0118,0.6288,1
3.75,0.4795,0.01362,0.00637,-0.0098,0.5737,1
4,0.499,0.01399,0.00647,-0.0077,0.5103,1
4.25,0.5181,0.01446,0.00663,-0.0058,0.443,1
4.5,0.5374,0.01504,0.00693,-0.0041,0.3732,1
4.75,0.5558,0.01583,0.00735,-0.0024,0.2991,1
5,0.5732,0.01696,0.00799,-0.0007,0.2248,1
5.25,0.591,0.01823,0.00885,0.0009,0.1732,1
5.5,0.6109,0.01945,0.00988,0.0024,0.146,1
5.75,0.6326,0.02066,0.01097,0.0036,0.1313,1
6,0.6557,0.02196,0.01224,0.0046,0.1219,1
6.25,0.6789,0.02328,0.01342,0.0054,0.1137,1
6.5,0.7028,0.02452,0.01487,0.0064,0.1073,1
6.75,0.7269,0.02595,0.0164,0.0072,0.1027,1
7,0.7507,0.02814,0.01856,0.0077,0.0987,1
7.25,0.7723,0.02953,0.0204,0.009,0.0944,1
7.5,0.7938,0.03141,0.02257,0.0101,0.0909,1
7.75,0.8149,0.03338,0.02466,0.011,0.0875,1
8,0.8316,0.03633,0.02792,0.0121,0.0842,1
8.25,0.8453,0.03919,0.03137,0.014,0.0824,1
8.5,0.8555,0.04269,0.03542,0.0158,0.081,1
8.75,0.8625,0.04631,0.03952,0.0175,0.079,1
9,0.8654,0.05042,0.04407,0.019,0.0779,1
9.25,0.8579,0.05613,0.05025,0.0205,0.0796,1
9.5,0.8462,0.06195,0.0564,0.0213,0.0817,1
9.75,0.8378,0.06733,0.06195,0.0216,0.0834,1
10,0.8396,0.07272,0.06737,0.0216,0.0846,1
